Objective,ScenarioID,Description,Algorithm,Cost,TTC_Min,TET,TIT,Max_Jerk,ObjectiveValue
ISE,S3,Res+20%,HOA,930863.1308844008,18.172042729081554,0.0,0.0,103.05846556087425,527613.5807465401
ISE,S3,Res+20%,PSO,930863.1308844008,18.172042729081554,0.0,0.0,103.05846556087425,527613.1650936913
ISE,S3,Res+20%,SKA,930863.1308844008,18.172042729081554,0.0,0.0,103.05846556087425,527613.1650354632
ISE,S4,Up Normal,KMA,930863.1308844008,17.428079719077413,0.0,0.0,86.08946631526476,830755.5958474728
ISE,S4,Up Normal,GA,930863.1308844008,17.38795088545532,0.0,0.0,83.72083142503756,832477.491974864
ISE,S4,Up Normal,HOA,930863.1308844008,17.42807971907729,0.0,0.0,75.41256465750438,830761.3878175605
ISE,S4,Up Normal,PSO,930863.1308844008,17.42807971907729,0.0,0.0,86.08771678788274,830755.5967834084
ISE,S4,Up Normal,SKA,930863.1308844008,17.42807971907729,0.0,0.0,86.08955659199468,830755.5957991845
ISE,S5,Up Mass+,KMA,930863.1308844008,17.43917914016732,0.0,0.0,71.1911853294786,1005946.3671703073
ISE,S5,Up Mass+,GA,930863.1308844008,17.4309520927558,0.0,0.0,83.74483545080274,1007896.8367501309
ISE,S5,Up Mass+,HOA,930863.1308844008,17.439179140166534,0.0,0.0,61.490817177161865,1005953.069812775
ISE,S5,Up Mass+,PSO,930863.1308844008,17.439179140166534,0.0,0.0,71.1895958221658,1005946.3682552342
ISE,S5,Up Mass+,SKA,930863.1308844008,17.439179140166534,0.0,0.0,71.19126735373197,1005946.3671140611
ISE,S6,Up Mass-,KMA,930863.1308844008,17.610458601994363,0.0,0.0,83.19517402177974,707104.3412437071
ISE,S6,Up Mass-,GA,930863.1308844008,17.50912485312824,0.0,0.0,97.93577451286025,708609.070894446
ISE,S6,Up Mass-,HOA,930863.1308844008,17.610458601994257,0.0,0.0,96.92969747193754,707109.1334291463
ISE,S6,Up Mass-,PSO,930863.1308844008,17.610458601994257,0.0,0.0,83.19742673810714,707104.3420158378
ISE,S6,Up Mass-,SKA,930863.1308844008,17.610458601994257,0.0,0.0,83.1950577795145,707104.3412038602
ISE,S7,Up Res+,KMA,930863.1308844008,17.416062138521813,0.0,0.0,65.44089029032072,880009.5063482493
ISE,S7,Up Res+,GA,930863.1308844008,17.365722017163137,0.0,0.0,92.84937082407293,881837.1000291836
ISE,S7,Up Res+,HOA,930863.1308844008,17.41606213852169,0.0,0.0,76.71188932062074,880015.670414098
ISE,S7,Up Res+,PSO,930863.1308844008,17.41606213852169,0.0,0.0,65.44273893980518,880009.5073435446
ISE,S7,Up Res+,SKA,930863.1308844008,17.41606213852169,0.0,0.0,65.44079489828982,880009.5062968835
ISE,S8,Down Normal,KMA,930863.1308844008,19.0123063662286,0.0,0.0,136.57829053056506,404687.5898733917
ISE,S8,Down Normal,GA,930863.1308844008,18.806444161015172,0.0,0.0,138.25365070344998,404262.12697417795
ISE,S8,Down Normal,HOA,930863.1308844008,19.01230636622865,0.0,0.0,136.5782905305342,404682.2657644948
ISE,S8,Down Normal,PSO,930863.1308844008,19.01230636622865,0.0,0.0,136.5782905305342,404687.58898888115
ISE,S8,Down Normal,SKA,930863.1308844008,19.01230636622865,0.0,0.0,136.5782905305342,404687.5899190381
ISE,S9,Down Mass+,KMA,930863.1308844008,18.924624156162388,0.0,0.0,162.7725417975145,413122.1644955569
ISE,S9,Down Mass+,GA,930863.1308844008,18.749397350581773,0.0,0.0,158.08201842752092,412654.67140644434
ISE,S9,Down Mass+,HOA,930863.1308844008,18.924624156162437,0.0,0.0,162.77254179760175,413116.74501141266
ISE,S9,Down Mass+,PSO,930863.1308844008,18.924624156162437,0.0,0.0,162.77254179760175,413122.16359542636
ISE,S9,Down Mass+,SKA,930863.1308844008,18.924624156162437,0.0,0.0,162.77254179760175,413122.1645420045
